reE,imE,inv_abs_det
0.01,-15.0,3.1679372228710433e-7
0.01,-14.848484848484848,3.506392355378031e-7
0.01,-14.696969696969697,3.8823926283566366e-7
0.01,-14.545454545454545,4.3002607021181544e-7
0.01,-14.393939393939394,4.764835592502495e-7
0.01,-14.242424242424242,5.281536654179227e-7
0.01,-14.090909090909092,5.856435788744162e-7
0.01,-13.93939393939394,6.49633897484937e-7
0.01,-13.787878787878787,7.208878369661583e-7
0.01,-13.636363636363637,8.002616404918297e-7
0.01,-13.484848484848484,8.887163500089104e-7
0.01,-13.333333333333334,9.873311243367707e-7
0.01,-13.181818181818182,1.0973183153013533e-6
0.01,-13.030303030303031,1.220040543183484e-6
0.01,-12.878787878787879,1.3570300472615544e-6
0.01,-12.727272727272727,1.5100106268641207e-6
0.01,-12.575757575757576,1.680922533956014e-6
0.01,-12.424242424242424,1.8719507307781355e-6
0.01,-12.272727272727273,2.0855569865621512e-6
0.01,-12.121212121212121,2.3245163571149698e-6
0.01,-11.969696969696969,2.591958671629398e-6
0.01,-11.818181818181818,2.8914157441689106e-6
0.01,-11.666666666666666,3.2268751349767478e-6
0.01,-11.515151515151516,3.602841411486419e-6
0.01,-11.363636363636363,4.024406003517012e-6
0.01,-11.212121212121213,4.497326915002608e-6
0.01,-11.06060606060606,5.028119749695832e-6
0.01,-10.909090909090908,5.624161735306268e-6
0.01,-10.757575757575758,6.293810695099898e-6
0.01,-10.606060606060606,7.0465412246667376e-6
0.01,-10.454545454545455,7.893100692351303e-6
0.01,-10.303030303030303,8.845688104045607e-6
0.01,-10.151515151515152,9.918159368064712e-6
0.01,-10.0,1.1126263077050153e-5
0.01,-9.848484848484848,1.2487911607604436e-5
0.01,-9.696969696969697,1.4023493144168053e-5
0.01,-9.545454545454545,1.575623118508875e-5
0.01,-9.393939393939394,1.771259921459979e-5
0.01,-9.242424242424242,1.9922799559110147e-5
0.01,-9.090909090909092,2.242131703222427e-5
0.01,-8.93939393939394,2.524755986176798e-5
0.01,-8.787878787878787,2.844660264713921e-5
0.01,-8.636363636363637,3.2070048794230825e-5
0.01,-8.484848484848484,3.617703311365601e-5
0.01,-8.333333333333334,4.083538916486564e-5
0.01,-8.181818181818182,4.6123010630461415e-5
0.01,-8.030303030303031,5.212944169544368e-5
0.01,-7.878787878787879,5.8957738313458e-5
0.01,-7.7272727272727275,6.672665065406491e-5
0.01,-7.575757575757576,7.557318730299385e-5
0.01,-7.424242424242424,8.565563438896304e-5
0.01,-7.2727272727272725,9.715711831633861e-5
0.01,-7.121212121212121,0.00011028981993396488
0.01,-6.96969696969697,0.00012529997171457566
0.01,-6.818181818181818,0.00014247379907812865
0.01,-6.666666666666667,0.00016214460394341998
0.01,-6.515151515151516,0.0001847012349856684
0.01,-6.363636363636363,0.00021059824759139665
0.01,-6.212121212121212,0.0002403681306488515
0.01,-6.0606060606060606,0.00027463607173094977
0.01,-5.909090909090909,0.0003141378530738491
0.01,-5.757575757575758,0.00035974162624425205
0.01,-5.606060606060606,0.0004124745145570326
0.01,-5.454545454545454,0.000473555254062407
0.01,-5.303030303030303,0.0005444344265392736
0.01,-5.151515151515151,0.0006268442891515506
0.01,-5.0,0.0007228608034549518
0.01,-4.848484848484849,0.0008349812642558572
0.01,-4.696969696969697,0.0009662220003354157
0.01,-4.545454545454546,0.001120242068048233
0.01,-4.393939393939394,0.0013015008318805605
0.01,-4.242424242424242,0.0015154600313774052
0.01,-4.090909090909091,0.001768844668248333
0.01,-3.9393939393939394,0.0020699822353028572
0.01,-3.787878787878788,0.0024292470566977774
0.01,-3.6363636363636362,0.002859646679755836
0.01,-3.484848484848485,0.0033776015652486804
0.01,-3.3333333333333335,0.004003989426744883
0.01,-3.1818181818181817,0.004765553627469321
0.01,-3.0303030303030303,0.005696813537961491
0.01,-2.878787878787879,0.006842665659893082
0.01,-2.727272727272727,0.008261926419538813
0.01,-2.5757575757575757,0.01003212903920091
