E,redet,imdet
-20.0,1.103365473509985e-7,0.0
-19.99,1.0699995784439357e-7,0.0
-19.98,1.0370900835480424e-7,0.0
-19.97,1.0046341006360854e-7,0.0
-19.96,9.726287463997844e-8,0.0
-19.95,9.410711424269224e-8,0.0
-19.94,9.09958415219562e-8,0.0
-19.93,8.792876962119174e-8,0.0
-19.92,8.490561217888219e-8,0.0
-19.91,8.192608333037024e-8,0.0
-19.9,7.898989770969318e-8,0.0
-19.89,7.609677045140236e-8,0.0
-19.88,7.324641719238104e-8,0.0
-19.87,7.043855407367701e-8,0.0
-19.86,6.767289774234323e-8,0.0
-19.85,6.494916535324777e-8,0.0
-19.84,6.226707457092378e-8,0.0
-19.83,5.96263435714033e-8,0.0
-19.82,5.7026691044051036e-8,0.0
-19.81,5.4467836193404584e-8,0.0
-19.8,5.1949498741021034e-8,0.0
-19.79,4.947139892731563e-8,0.0
-19.78,4.7033257513414675e-8,0.0
-19.77,4.463479578299535e-8,0.0
-19.76,4.227573554414326e-8,0.0
-19.75,3.995579913119974e-8,0.0
-19.74,3.7674709406622065e-8,0.0
-19.73,3.543218976283244e-8,0.0
-19.72,3.32279641240825e-8,0.0
-19.71,3.10617569483066e-8,0.0
-19.7,2.8933293228987184e-8,0.0
-19.69,2.6842298497026528e-8,0.0
-19.68,2.4788498822601523e-8,0.0
-19.67,2.2771620817032468e-8,0.0
-19.66,2.079139163465734e-8,0.0
-19.65,1.884753897470867e-8,0.0
-19.64,1.693979108316883e-8,0.0
-19.63,1.506787675466897e-8,0.0
-19.62,1.3231525334342921e-8,0.0
-19.61,1.1430466719725376e-8,0.0
-19.6,9.664431362621956e-9,0.0
-19.59,7.933150270994168e-9,0.0
-19.58,6.236355010843226e-9,0.0
-19.57,4.573777708103263e-9,0.0
-19.56,2.945151050516415e-9,0.0
-19.55,1.3502082895332727e-9,0.0
-19.54,-2.1131675779813565e-10,0.0
-19.53,-1.7396897069442906e-9,0.0
-19.52,-3.2351756039829365e-9,0.0
-19.51,-4.698038923712828e-9,0.0
-19.5,-6.1285435677550785e-9,0.0
-19.49,-7.526952862646613e-9,0.0
-19.48,-8.893529557946567e-9,0.0
-19.47,-1.0228535824329907e-8,0.0
-19.46,-1.1532233251678607e-8,0.0
-19.45,-1.280488284718507e-8,0.0
-19.44,-1.4046745033432797e-8,0.0
-19.43,-1.525807964649143e-8,0.0
-19.42,-1.643914593400846e-8,0.0
-19.41,-1.7590202553293094e-8,0.0
-19.4,-1.871150756940006e-8,0.0
-19.39,-1.980331845321703e-8,0.0
-19.38,-2.0865892079547235e-8,0.0
-19.37,-2.18994847251879e-8,0.0
-19.36,-2.2904352067012662e-8,0.0
-19.35,-2.3880749180048103e-8,0.0
-19.34,-2.4828930535549863e-8,0.0
-19.33,-2.5749149999081114e-8,0.0
-19.32,-2.6641660828581402e-8,0.0
-19.31,-2.750671567244446e-8,0.0
-19.3,-2.8344566567584814e-8,0.0
-19.29,-2.9155464937511793e-8,0.0
-19.28,-2.9939661590394064e-8,0.0
-19.27,-3.069740671712858e-8,0.0
-19.26,-3.142894988940611e-8,0.0
-19.25,-3.213454005777658e-8,0.0
-19.24,-3.281442554970955e-8,0.0
-19.23,-3.346885406766048e-8,0.0
-19.22,-3.409807268712682e-8,0.0
-19.21,-3.4702327854710266e-8,0.0
-19.2,-3.528186538617506e-8,0.0
-19.19,-3.5836930464503984e-8,0.0
-19.18,-3.6367767637954505e-8,0.0
-19.17,-3.6874620818114325e-8,0.0
-19.16,-3.7357733277954345e-8,0.0
-19.15,-3.781734764988158e-8,0.0
-19.14,-3.8253705923789996e-8,0.0
-19.13,-3.866704944511165e-8,0.0
-19.12,-3.9057618912865965e-8,0.0
-19.11,-3.942565437770718e-8,0.0
-19.1,-3.977139523997336e-8,0.0
-19.09,-4.0095080247731046e-8,0.0
-19.08,-4.0396947494820244e-8,0.0
-19.07,-4.0677234418901536e-8,0.0
-19.06,-4.093617779949677e-8,0.0
-19.05,-4.1174013756032435e-8,0.0
-19.04,-4.139097774588197e-8,0.0
-19.03,-4.15873045624053e-8,0.0
-19.02,-4.1763228332990974e-8,0.0
-19.01,-4.191898251709265e-8,0.0
-19.0,-4.205479990426831e-8,0.0
-18.99,-4.217091261221944e-8,0.0
-18.98,-4.2267552084825083e-8,0.0
-18.97,-4.234494909018009e-8,0.0
-18.96,-4.240333371862896e-8,0.0
-18.95,-4.2442935380801715e-8,0.0
-18.94,-4.246398280564664e-8,0.0
-18.93,-4.24667040384642e-8,0.0
-18.92,-4.245132643894005e-8,0.0
-18.91,-4.2418076679176204e-8,0.0
-18.9,-4.236718074172308e-8,0.0
-18.89,-4.2298863917610895e-8,0.0
-18.88,-4.221335080437862e-8,0.0
-18.87,-4.2110865304105493e-8,0.0
-18.86,-4.1991630621439636e-8,0.0
-18.85,-4.1855869261626774e-8,0.0
-18.84,-4.1703803028539115e-8,0.0
-18.83,-4.153565302270352e-8,0.0
-18.82,-4.1351639639329106e-8,0.0
-18.81,-4.115198256633407e-8,0.0
-18.8,-4.093690078237377e-8,0.0
-18.79,-4.0706612554866254e-8,0.0
-18.78,-4.046133543802009e-8,0.0
-18.77,-4.0201286270858024e-8,0.0
-18.76,-3.9926681175246324e-8,0.0
-18.75,-3.963773555391769e-8,0.0
-18.74,-3.933466408849788e-8,0.0
-18.73,-3.9017680737531204e-8,0.0
-18.72,-3.868699873450529e-8,0.0
-18.71,-3.834283058587621e-8,0.0
-18.7,-3.79853880690946e-8,0.0
-18.69,-3.761488223062906e-8,0.0
-18.68,-3.723152338399186e-8,0.0
-18.67,-3.683552110776468e-8,0.0
-18.66,-3.6427084243622425e-8,0.0
-18.65,-3.600642089435873e-8,0.0
-18.64,-3.5573738421912465e-8,0.0
-18.63,-3.512924344539028e-8,0.0
-18.62,-3.4673141839094155e-8,0.0
-18.61,-3.4205638730546964e-8,0.0
-18.6,-3.3726938498517795e-8,0.0
-18.59,-3.3237244771047885e-8,0.0
-18.58,-3.273676042347704e-8,0.0
-18.57,-3.222568757647131e-8,0.0
-18.56,-3.170422759404732e-8,0.0
-18.55,-3.117258108160393e-8,0.0
-18.54,-3.063094788394505e-8,0.0
-18.53,-3.007952708331151e-8,0.0
-18.52,-2.9518516997408032e-8,0.0
-18.51,-2.8948115177431587e-8,0.0
-18.5,-2.8368518406103375e-8,0.0
-18.49,-2.777992269569692e-8,0.0
-18.48,-2.7182523286068784e-8,0.0
-18.47,-2.657651464269139e-8,0.0
-18.46,-2.596209045468341e-8,0.0
-18.45,-2.5339443632842586e-8,0.0
-18.44,-2.4708766307681047e-8,0.0
-18.43,-2.407024982745605e-8,0.0
-18.42,-2.3424084756207463e-8,0.0
-18.41,-2.2770460871793033e-8,0.0
-18.4,-2.2109567163923e-8,0.0
-18.39,-2.144159183219988e-8,0.0
-18.38,-2.076672228415558e-8,0.0
-18.37,-2.0085145133290803e-8,0.0
-18.36,-1.939704619711375e-8,0.0
-18.35,-1.8702610495185705e-8,0.0
-18.34,-1.8002022247157883e-8,0.0
-18.33,-1.729546487081762e-8,0.0
-18.32,-1.6583120980133543e-8,0.0
-18.31,-1.5865172383298974e-8,0.0
-18.3,-1.5141800080780526e-8,0.0
-18.29,-1.441318426336519e-8,0.0
-18.28,-1.367950431021079e-8,0.0
-18.27,-1.2940938786893783e-8,0.0
-18.26,-1.2197665443465817e-8,0.0
-18.25,-1.1449861212502023e-8,0.0
-18.24,-1.0697702207160044e-8,0.0
-18.23,-9.94136371923451e-9,0.0
-18.22,-9.181020217212232e-9,0.0
-18.21,-8.416845344337029e-9,0.0
-18.2,-7.649011916664946e-9,0.0
-18.19,-6.877691921129983e-9,0.0
-18.18,-6.103056513607835e-9,0.0
-18.17,-5.325276016980885e-9,0.0
-18.16,-4.544519919204572e-9,0.0
-18.15,-3.760956871380393e-9,0.0
-18.14,-2.9747546858224938e-9,0.0
-18.13,-2.1860803341334848e-9,0.0
-18.12,-1.3950999452798916e-9,0.0
-18.11,-6.019788036644813e-10,0.0
-18.1,1.9311865278913103e-10,0.0
-18.09,9.90028834559191e-10,0.0
-18.08,1.7885890024431553e-9,0.0
-18.07,2.5886372694710026e-9,0.0
-18.06,3.3900126028197036e-9,0.0
-18.05,4.192554825722789e-9,0.0
-18.04,4.996104619379191e-9,0.0
-18.03,5.8005035248601935e-9,0.0
-18.02,6.60559394501158e-9,0.0
-18.01,7.4112191463574975e-9,0.0
-18.0,8.217223260997622e-9,0.0
-17.99,9.023451288504118e-9,0.0
-17.98,9.829749097816593e-9,0.0
-17.97,1.0635963429132749e-8,0.0
-17.96,1.1441941895798183e-8,0.0
-17.95,1.2247532986193025e-8,0.0
-17.94,1.3052586065612279e-8,0.0
-17.93,1.3856951378152106e-8,0.0
-17.92,1.4660480048583215e-8,0.0
