x,V
-2527.092,0.0
-2526.092,0.0
-2525.092,0.0
-2524.092,0.0
-2523.092,0.0
-2522.092,0.0
-2521.092,0.0
-2520.092,0.0
-2519.092,0.0
-2518.092,0.0
-2517.092,0.0
-2516.092,0.0
-2515.092,0.0
-2514.092,0.0
-2513.092,0.0
-2512.092,0.0
-2511.092,0.0
-2510.092,0.0
-2509.092,0.0
-2508.092,0.0
-2507.092,0.0
-2506.092,0.0
-2505.092,0.0
-2504.092,0.0
-2503.092,0.0
-2502.092,0.0
-2501.092,0.0
-2500.092,0.0
-2499.092,0.0
-2498.092,0.0
-2497.092,0.0
-2496.092,0.0
-2495.092,0.0
-2494.092,0.0
-2493.092,0.0
-2492.092,0.0
-2491.092,0.0
-2490.092,0.0
-2489.092,0.0
-2488.092,0.0
-2487.092,0.0
-2486.092,0.0
-2485.092,0.0
-2484.092,0.0
-2483.092,0.0
-2482.092,0.0
-2481.092,0.0
-2480.092,0.0
-2479.092,0.0
-2478.092,0.0
-2477.092,0.0
-2476.092,0.0
-2475.092,0.0
-2474.092,0.0
-2473.092,0.0
-2472.092,0.0
-2471.092,0.0
-2470.092,0.0
-2469.092,0.0
-2468.092,0.0
-2467.092,0.0
-2466.092,0.0
-2465.092,0.0
-2464.092,0.0
-2463.092,0.0
-2462.092,0.0
-2461.092,0.0
-2460.092,0.0
-2459.092,0.0
-2458.092,0.0
-2457.092,0.0
-2456.092,0.0
-2455.092,0.0
-2454.092,0.0
-2453.092,0.0
-2452.092,0.0
-2451.092,0.0
-2450.092,0.0
-2449.092,0.0
-2448.092,0.0
-2447.092,0.0
-2446.092,0.0
-2445.092,0.0
-2444.092,0.0
-2443.092,0.0
-2442.092,0.0
-2441.092,0.0
-2440.092,0.0
-2439.092,0.0
-2438.092,0.0
-2437.092,0.0
-2436.092,0.0
-2435.092,0.0
-2434.092,0.0
-2433.092,0.0
-2432.092,0.0
-2431.092,0.0
-2430.092,0.0
-2429.092,0.0
-2428.092,0.0
-2427.092,0.0
-2426.092,0.0
-2425.092,0.0
-2424.092,0.0
-2423.092,0.0
-2422.092,0.0
-2421.092,0.0
-2420.092,0.0
-2419.092,0.0
-2418.092,0.0
-2417.092,0.0
-2416.092,0.0
-2415.092,0.0
-2414.092,0.0
-2413.092,0.0
-2412.092,0.0
-2411.092,0.0
-2410.092,0.0
-2409.092,0.0
-2408.092,0.0
-2407.092,0.0
-2406.092,0.0
-2405.092,0.0
-2404.092,0.0
-2403.092,0.0
-2402.092,0.0
-2401.092,0.0
-2400.092,0.0
-2399.092,0.0
-2398.092,0.0
-2397.092,0.0
-2396.092,0.0
-2395.092,0.0
-2394.092,0.0
-2393.092,0.0
-2392.092,0.0
-2391.092,0.0
-2390.092,0.0
-2389.092,0.0
-2388.092,0.0
-2387.092,0.0
-2386.092,0.0
-2385.092,0.0
-2384.092,0.0
-2383.092,0.0
-2382.092,0.0
-2381.092,0.0
-2380.092,0.0
-2379.092,0.0
-2378.092,0.0
-2377.092,0.0
-2376.092,0.0
-2375.092,0.0
-2374.092,0.0
-2373.092,0.0
-2372.092,0.0
-2371.092,0.0
-2370.092,0.0
-2369.092,0.0
-2368.092,0.0
-2367.092,0.0
-2366.092,0.0
-2365.092,0.0
-2364.092,0.0
-2363.092,0.0
-2362.092,0.0
-2361.092,0.0
-2360.092,0.0
-2359.092,0.0
-2358.092,0.0
-2357.092,0.0
-2356.092,0.0
-2355.092,0.0
-2354.092,0.0
-2353.092,0.0
-2352.092,0.0
-2351.092,0.0
-2350.092,0.0
-2349.092,0.0
-2348.092,0.0
-2347.092,0.0
-2346.092,0.0
-2345.092,0.0
-2344.092,0.0
-2343.092,0.0
-2342.092,0.0
-2341.092,0.0
-2340.092,0.0
-2339.092,0.0
-2338.092,0.0
-2337.092,0.0
-2336.092,0.0
-2335.092,0.0
-2334.092,0.0
-2333.092,0.0
-2332.092,0.0
-2331.092,0.0
-2330.092,0.0
-2329.092,0.0
-2328.092,0.0
-2327.092,0.0
-2326.092,0.0
-2325.092,0.0
-2324.092,0.0
-2323.092,0.0
-2322.092,0.0
-2321.092,0.0
-2320.092,0.0
-2319.092,0.0
-2318.092,0.0
-2317.092,0.0
-2316.092,0.0
-2315.092,0.0
-2314.092,0.0
-2313.092,0.0
-2312.092,0.0
-2311.092,0.0
-2310.092,0.0
-2309.092,0.0
-2308.092,0.0
-2307.092,0.0
-2306.092,0.0
-2305.092,0.0
-2304.092,0.0
-2303.092,0.0
-2302.092,0.0
-2301.092,0.0
-2300.092,0.0
-2299.092,0.0
-2298.092,0.0
-2297.092,0.0
-2296.092,0.0
-2295.092,0.0
-2294.092,0.0
-2293.092,0.0
-2292.092,0.0
-2291.092,0.0
-2290.092,0.0
-2289.092,0.0
-2288.092,0.0
-2287.092,0.0
-2286.092,0.0
-2285.092,0.0
-2284.092,0.0
-2283.092,0.0
-2282.092,0.0
-2281.092,0.0
-2280.092,0.0
-2279.092,0.0
-2278.092,0.0
-2277.092,0.0
-2276.092,0.0
-2275.092,0.0
-2274.092,0.0
-2273.092,0.0
-2272.092,0.0
-2271.092,0.0
-2270.092,0.0
-2269.092,0.0
-2268.092,0.0
-2267.092,0.0
-2266.092,0.0
-2265.092,0.0
-2264.092,0.0
-2263.092,0.0
-2262.092,0.0
-2261.092,0.0
-2260.092,0.0
-2259.092,0.0
-2258.092,0.0
-2257.092,0.0
-2256.092,0.0
-2255.092,0.0
-2254.092,0.0
-2253.092,0.0
-2252.092,0.0
-2251.092,0.0
-2250.092,0.0
-2249.092,0.0
-2248.092,0.0
-2247.092,0.0
-2246.092,0.0
-2245.092,0.0
-2244.092,0.0
-2243.092,0.0
-2242.092,0.0
-2241.092,0.0
-2240.092,0.0
-2239.092,0.0
-2238.092,0.0
-2237.092,0.0
-2236.092,0.0
-2235.092,0.0
-2234.092,0.0
-2233.092,0.0
-2232.092,0.0
-2231.092,0.0
-2230.092,0.0
-2229.092,0.0
-2228.092,0.0
-2227.092,0.0
-2226.092,0.0
-2225.092,0.0
-2224.092,0.0
-2223.092,0.0
-2222.092,0.0
-2221.092,0.0
-2220.092,0.0
-2219.092,0.0
-2218.092,0.0
-2217.092,0.0
-2216.092,0.0
-2215.092,0.0
-2214.092,0.0
-2213.092,0.0
-2212.092,0.0
-2211.092,0.0
-2210.092,0.0
-2209.092,0.0
-2208.092,0.0
-2207.092,0.0
-2206.092,0.0
-2205.092,0.0
-2204.092,0.0
-2203.092,0.0
-2202.092,0.0
-2201.092,0.0
-2200.092,0.0
-2199.092,0.0
-2198.092,0.0
-2197.092,0.0
-2196.092,0.0
-2195.092,0.0
-2194.092,0.0
-2193.092,0.0
-2192.092,0.0
-2191.092,0.0
-2190.092,0.0
-2189.092,0.0
-2188.092,0.0
-2187.092,0.0
-2186.092,0.0
-2185.092,0.0
-2184.092,0.0
-2183.092,0.0
-2182.092,0.0
-2181.092,0.0
-2180.092,0.0
-2179.092,0.0
-2178.092,0.0
-2177.092,0.0
-2176.092,0.0
-2175.092,0.0
-2174.092,0.0
-2173.092,0.0
-2172.092,0.0
-2171.092,0.0
-2170.092,0.0
-2169.092,0.0
-2168.092,0.0
-2167.092,0.0
-2166.092,0.0
-2165.092,0.0
-2164.092,0.0
-2163.092,0.0
-2162.092,0.0
-2161.092,0.0
-2160.092,0.0
-2159.092,0.0
-2158.092,0.0
-2157.092,0.0
-2156.092,0.0
-2155.092,0.0
-2154.092,0.0
-2153.092,0.0
